Project,commit,Lines Added in Fixed Version,Lines Deleted in Fixed Version,Hunks in Fixed Version,project,codeLink,CWE ID,CVE ID,vulnerability_fixed_again_in_version,Prompt File,Reasoning,future_commit_id
FFmpeg,900f39692ca0337a98a7cf047e4e2611071810c2,4.0,0.0,2.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/900f39692ca0337a98a7cf047e4e2611071810c2,CWE-834,CVE-2017-14170,v114,191_FFmpeg_FFmpeg_900f39692ca0337a98a7cf047e4e2611071810c2_mxfdec.c_changes_v113_v114.txt.txt,"The previous fix from FFmpeg_900f39692ca0337a98a7cf047e4e2611071810c2 added checks for invalid data and EOF conditions in mxf_read_index_entry_array(), but it did not account for the possibility of duplicate index entry arrays. This oversight meant that when the function was called multiple times for the same segment, it would allocate new memory without freeing the previous allocation, leading to a memory leak vulnerability. The candidate commit specifically fixes this by adding a check for existing temporal_offset_entries, preventing duplicate allocations and the resulting memory leak. This security vulnerability (memory leak) was introduced as an unintended consequence of the previous fix's focus on DoS protection without considering the memory management implications of multiple calls to the same function.",4f44a218e53cd92e64ba10a935bc1e7583c3e218
FFmpeg,96f24d1bee7fe7bac08e2b7c74db1a046c9dc0de,12.0,3.0,1.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/96f24d1bee7fe7bac08e2b7c74db1a046c9dc0de,CWE-834,CVE-2017-14056,v4,207_FFmpeg_FFmpeg_96f24d1bee7fe7bac08e2b7c74db1a046c9dc0de_rl2.c_changes_v3_v4.txt.txt,"The previous fix added EOF checks to prevent DoS (Denial of Service) attacks, but it introduced a memory leak vulnerability. When EOF is detected, the code immediately returns AVERROR_INVALIDDATA without freeing the allocated memory (chunk_size, audio_size, and chunk_offset arrays). The future candidate commit fixes this by replacing direct returns with a goto to an 'end' label where proper cleanup is performed. This ensures that memory is properly freed even in error conditions, preventing memory leaks that could be exploited maliciously. This is a clear case where the original security fix (adding EOF checks) inadvertently created a new security vulnerability (memory leaks) that needed to be fixed in the future commit.",59697e42e1b7535863794d301fbdb75e119f4683
FFmpeg,b05cd1ea7e45a836f7f6071a716c38bb30326e0f,8.0,7.0,3.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/b05cd1ea7e45a836f7f6071a716c38bb30326e0f,CWE-119,CVE-2013-7020,v20,264_FFmpeg_FFmpeg_b05cd1ea7e45a836f7f6071a716c38bb30326e0f_ffv1dec.c_changes_v19_v20.txt.txt,"The candidate commit (CVE-2013-7020) is fixing a vulnerability introduced by the previous fix. The first commit added checks for bits_per_raw_sample and colorspace equality in version 0/1 headers, but it did not properly validate all global parameters that could change between frames. The second commit specifically addresses this by adding validation for all global parameters in version 0/1 that are not allowed to change, as indicated by the commit message 'Such changes are neither allowed nor supported'. The vulnerability emerged because the first fix focused only on specific parameters while inadvertently leaving other global parameters unchecked, which could potentially be exploited. This is evidenced by the changes in the global parameter handling and error checking code in the second commit.",da7d839a0d3ec40423a665dc85e0cfaed3f92eb8
FFmpeg,cb243972b121b1ae6b60a78ff55a0506c69f3879,30.0,7.0,7.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/cb243972b121b1ae6b60a78ff55a0506c69f3879,CWE-119,CVE-2017-9990,v3,266_FFmpeg_FFmpeg_cb243972b121b1ae6b60a78ff55a0506c69f3879_xpmdec.c_changes_v2_v3.txt.txt,"The previous fix commit implemented bounds checking for color index mapping by limiting each character to values between ' ' (32) and '~' (126), effectively allowing for 95 possible values per character. The fix aimed to prevent buffer overflows by limiting the color palette size. However, this fix inadvertently introduced a limitation that prevented valid XPM files from being processed correctly. The future commit fixes this by expanding the valid character range to 0xfe (254), allowing for 220 possible values per character. This shows that the previous security fix was overly restrictive and introduced a new vulnerability: potential denial of service for valid XPM files that use extended ASCII characters for color mapping. The change in both ascii2index() function and the size calculation (from 95 to 220) demonstrates that the previous fix's restrictions were causing legitimate files to fail, which could be exploited as a denial of service vulnerability.",fe300b2ab5d137bfd012060ff7ae50321ae8ac12
FFmpeg,cdd5df8189ff1537f7abe8defe971f80602cc2d2,1.0,1.0,1.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/cdd5df8189ff1537f7abe8defe971f80602cc2d2,CWE-399,CVE-2013-7021,v19,268_FFmpeg_FFmpeg_cdd5df8189ff1537f7abe8defe971f80602cc2d2_vf_fps.c_changes_v18_v19.txt.txt,"The previous fix in commit FFmpeg_cdd5df8189ff1537f7abe8defe971f80602cc2d2 added a check 'av_fifo_size(s->fifo) <= 0' to prevent using an empty FIFO buffer. However, this fix introduced a new vulnerability where the filter would queue up all duplicate frames required to fill a timestamp gap in a single call to filter_frame. As noted in the candidate commit message, this could lead to queuing up a potentially huge number of frames in memory for files with large PTS gaps (like webcam streams with network issues), causing memory exhaustion that could trigger the Linux OOM-killer. The candidate commit specifically fixes this vulnerability by rewriting the filter using an activate callback that generates at most 1 frame each time it is called, preventing the memory exhaustion issue.",e4edc567a077d34f579d31ef0bfe164c7abfac4c
FFmpeg,e371f031b942d73e02c090170975561fabd5c264,1163.0,341.0,19.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/e371f031b942d73e02c090170975561fabd5c264,CWE-787,CVE-2017-7866,v3,285_FFmpeg_FFmpeg_e371f031b942d73e02c090170975561fabd5c264_pngdec.c_changes_v2_v3.txt.txt,"The previous fix (FFmpeg_e371f031b942d73e02c090170975561fabd5c264) attempted to address an out-of-array access vulnerability in decode_zbuf() but inadvertently created a new security issue. This original fix did not properly validate transparency (trns) chunk handling, which could lead to out-of-array access when dealing with 1-bit depth images. The candidate commit specifically fixes this by adding new validation checks to ensure trns chunks are properly handled - particularly by checking if bit_depth == 1 before processing trns data, and adding assertions to prevent array access violations. Additionally, it adds proper state validation to ensure trns chunks only appear in valid positions in the PNG data stream (after IHDR but before IDAT). The 'av_assert0(s->bit_depth > 1)' in the candidate commit directly addresses the vulnerability introduced by the previous incomplete validation.",e477f09d0b3619f3d29173b2cd593e17e2d1978e
FFmpeg,fe448cd28d674c3eff3072552eae366d0b659ce9,4.0,4.0,2.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/fe448cd28d674c3eff3072552eae366d0b659ce9,CWE-119,CVE-2013-7024,v92,329_FFmpeg_FFmpeg_fe448cd28d674c3eff3072552eae366d0b659ce9_jpeg2000dec.c_changes_v91_v92.txt.txt,"The previous fix attempted to handle subsampling by dividing x and y coordinates by s->cdx[compno] and s->cdy[compno] respectively when calculating buffer positions. However, this introduced incorrect handling of image offsets in multi-tile subsampled images. The original fix applied the subsampling factor in the wrong place - after subtracting the image offset instead of applying it to the offset itself. This could lead to incorrect buffer access and potential out-of-bounds memory access in cases where images have both subsampling and non-zero offsets. The candidate commit fixes this by applying the subsampling factor to the image offsets (s->image_offset_x and s->image_offset_y) before subtraction, ensuring correct pixel addressing for subsampled multi-tile images. Therefore, the previous fix introduced a new vulnerability by implementing incorrect offset calculations, which is then fixed by the candidate commit.",d554715f673d670194b8a4449d9260f1a47a07ae
ImageMagick,16916c8979c32765c542e216b31cee2671b7afe7,2.0,0.0,1.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/16916c8979c32765c542e216b31cee2671b7afe7,CWE-20,CVE-2018-16644,v3,344_ImageMagick_ImageMagick_16916c8979c32765c542e216b31cee2671b7afe7_dcm.c_changes_v2_v3.txt.txt,The previous fix added a check for insufficient image data in DCM files but failed to properly clean up resources (specifically the read_info structure) before throwing the exception. This resource leak was introduced by the original fix and could lead to memory leaks when processing malformed DCM files. The candidate commit addresses this by explicitly destroying the read_info structure before throwing the exception. This is a classic case where a security fix (bounds checking) introduced a new security vulnerability (resource leak) that needed to be fixed in a subsequent commit.,5b7b55faeba3767bd0362c46226973561bd8a7df
ImageMagick,1aa0c6dab6dcef4d9bc3571866ae1c1ddbec7d8f,17.0,26.0,2.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/1aa0c6dab6dcef4d9bc3571866ae1c1ddbec7d8f,CWE-125,CVE-2015-8958,v12,346_ImageMagick_ImageMagick_1aa0c6dab6dcef4d9bc3571866ae1c1ddbec7d8f_sun.c_changes_v11_v12.txt.txt,"The previous fix (ImageMagick_1aa0c6dab6dcef4d9bc3571866ae1c1ddbec7d8f) moved memory allocation for sun_pixels outside the RT_ENCODED condition, but introduced a potential security vulnerability by: 1) Not properly validating the allocation size against the actual image dimensions, and 2) Not initializing the allocated memory buffer. The future candidate commit fixes these issues by: 1) Using MagickMax to ensure the allocation size is sufficient for the actual image columns, and 2) Adding ResetMagickMemory to initialize the allocated buffer to zero, preventing potential information leaks from uninitialized memory. This indicates that the previous fix's changes to the memory allocation logic introduced security issues that needed to be addressed in the candidate commit.",2174484dfa68a594e2f9ad17f46217b6120db18d
ImageMagick,2130bf6f89ded32ef0c88a11694f107c52566c53,3.0,1.0,1.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/2130bf6f89ded32ef0c88a11694f107c52566c53,CWE-119,CVE-2017-16546,v23,349_ImageMagick_ImageMagick_2130bf6f89ded32ef0c88a11694f107c52566c53_wpg.c_changes_v22_v23.txt.txt,"The previous fix at commit 2130bf6f89 introduced a check for WPG_Palette.StartIndex > WPG_Palette.NumOfEntries, but this created a new vulnerability by not catching the case where StartIndex equals NumOfEntries. The future commit fixes this by changing '>' to '>=' in the condition, which prevents a potential out-of-bounds access that could occur when StartIndex equals NumOfEntries. The original fix created this edge case vulnerability by only checking for strictly greater than, leaving the equality case unhandled. This is a classic example of an incomplete boundary check introducing a new security vulnerability that needed to be fixed later.",fc25040471ee40b11c5bdecb3b2efd5457c54022
ImageMagick,280215b9936d145dd5ee91403738ccce1333cab1,87.0,80.0,2.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/280215b9936d145dd5ee91403738ccce1333cab1,CWE-125,CVE-2016-7514,v9,364_ImageMagick_ImageMagick_280215b9936d145dd5ee91403738ccce1333cab1_psd.c_changes_v8_v9.txt.txt,"The previous fix commit introduced a potential vulnerability by using a hardcoded value of 255 when setting pixel values for 1-bit PSD files. This could lead to incorrect pixel value scaling and potential buffer overflows since Quantum values in ImageMagick should use QuantumRange instead of hardcoded values. The future candidate commit fixes this vulnerability by replacing the hardcoded '255' with 'QuantumRange', which is the proper way to handle quantum values in ImageMagick. The use of hardcoded values instead of QuantumRange can cause issues when the quantum depth is different from 8-bit, potentially leading to buffer overflows or image corruption. This is a clear case where the previous refactoring introduced a subtle security vulnerability that was later fixed.",c6e0187105ab20b12bbc661f01b54e4894e92a5b
ImageMagick,2ad6d33493750a28a5a655d319a8e0b16c392de1,6.0,2.0,2.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/2ad6d33493750a28a5a655d319a8e0b16c392de1,CWE-125,CVE-2016-7515,v4,365_ImageMagick_ImageMagick_2ad6d33493750a28a5a655d319a8e0b16c392de1_rle.c_changes_v3_v4.txt.txt,"The previous fix (2ad6d33) attempted to prevent integer overflow by checking if number_pixels*number_planes_filled would fit in size_t, but it introduced a new vulnerability: it failed to properly validate the memory allocation size when calculating pixel_info_length. The candidate commit fixes this by: 1) Adding a new check 'if (image->rows < (image->rows*number_planes_filled*sizeof(*pixels)))' to detect potential integer overflow in the total allocation size, 2) Modifying the AcquireVirtualMemory call to explicitly include sizeof(*pixels) in the calculation, ensuring proper memory allocation size, and 3) Changing the error type to CorruptImageError when the validation fails. The previous fix's incomplete validation of the allocation size created a new security vulnerability that could lead to integer overflow and potential buffer overflow, which this commit addresses.",2174484dfa68a594e2f9ad17f46217b6120db18d
ImageMagick,4f2c04ea6673863b87ac7f186cbb0d911f74085c,12.0,7.0,2.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/4f2c04ea6673863b87ac7f186cbb0d911f74085c,CWE-125,CVE-2016-7532,v10,383_ImageMagick_ImageMagick_4f2c04ea6673863b87ac7f186cbb0d911f74085c_psd.c_changes_v9_v10.txt.txt,"The previous fix added checks for out-of-bounds read by validating that 'cnt' is not negative and introduced certain boundary checks. However, this fix itself introduced a new vulnerability by not properly checking the result of PSDQuantum(count)+12 arithmetic operation, which could lead to integer overflow. The future candidate commit specifically addresses this by introducing a new variable 'quantum' to safely store the PSDQuantum(count)+12 calculation and adding proper bounds checking with 'quantum >= 12' to prevent integer overflow/underflow scenarios. Additionally, it improves the boundary check condition to be more precise with 'q+quantum < (datum+length-16)'. This shows that the initial fix introduced a new arithmetic-based vulnerability that needed to be fixed in the candidate commit.",4812e816a9c3da93003aaea1d0b1db9ccf8ce40d
ImageMagick,58d9c46929ca0828edde34d263700c3a5fe8dc3c,2.0,2.0,2.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/58d9c46929ca0828edde34d263700c3a5fe8dc3c,CWE-125,CVE-2019-10714,v10,389_ImageMagick_ImageMagick_58d9c46929ca0828edde34d263700c3a5fe8dc3c_locale.c_changes_v9_v10.txt.txt,"The previous fix (58d9c46) changed the condition from 'c < 0' to 'c == EOF' for both LocaleLowercase and LocaleUppercase functions. While this fixed the immediate issue of handling EOF correctly, it introduced a new security vulnerability by not properly handling characters outside the valid unsigned char range. The newer commit fixes this vulnerability by adding an additional check '(c != (unsigned char) c)' which ensures that the input value is within the valid unsigned char range. This was necessary because passing values outside this range to locale functions could lead to buffer overflows or other memory-related vulnerabilities. The progression shows that the first fix was too narrow in scope and inadvertently created a security hole that needed to be patched in the later commit.",2f287f41eda67c8efd9c68b859d07eac98473b86
ImageMagick,6b4aff0f117b978502ee5bcd6e753c17aec5a961,9.0,3.0,3.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/6b4aff0f117b978502ee5bcd6e753c17aec5a961,CWE-125,CVE-2015-8958,v16,391_ImageMagick_ImageMagick_6b4aff0f117b978502ee5bcd6e753c17aec5a961_sun.c_changes_v15_v16.txt.txt,"The previous fix from ImageMagick_6b4aff0f117b978502ee5bcd6e753c17aec5a961 added a check for sun_info.length > (height*bytes_per_line) and other validations, but it inadvertently created potential integer overflow vulnerabilities in memory allocations and missed proper memory cleanup on error paths. The candidate commit fixes these issues by: 1) Introducing pixels_length to safely calculate allocation size without overflow, 2) Adding proper memory cleanup in error conditions by freeing sun_data and sun_pixels, 3) Using data_length instead of directly using sun_info.length to prevent overflows, 4) Adding bounds checking between data_length and pixels_length. These changes fix security vulnerabilities that were introduced or left unaddressed by the previous fix's incomplete validation approach.",6851a31bb1ced5dfe26249875ba0e208d2eafc1e
ImageMagick,6e48aa92ff4e6e95424300ecd52a9ea453c19c60,67.0,68.0,3.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/6e48aa92ff4e6e95424300ecd52a9ea453c19c60,CWE-119,CVE-2016-8677,v47,413_ImageMagick_ImageMagick_6e48aa92ff4e6e95424300ecd52a9ea453c19c60_tiff.c_changes_v46_v47.txt.txt,"The previous fix (6e48aa92) moves the quantum_info allocation and configuration code to after SetImageExtent(), but in doing so introduces a potential memory leak. When SetQuantumFormat() fails, it properly frees the tiff pointer but not the quantum_info pointer that was allocated. The future candidate commit (addressing issue 1053) fixes a similar memory leak pattern in a different part of the code where quantum_info wasn't being freed before throwing an exception when SetQuantumFormat() fails. This shows that the pattern of memory leak was introduced by the previous fix's code restructuring and is being fixed in similar locations throughout the codebase. The initial fix created this vulnerability pattern which needed to be fixed in multiple places.",052f6c22d3a2b2aae9dfa24aff9ccdf8b72ace91
ImageMagick,6f1879d498bcc5cce12fe0c5decb8dbc0f608e5d,2.0,2.0,1.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/6f1879d498bcc5cce12fe0c5decb8dbc0f608e5d,CWE-125,CVE-2016-7514,v11,420_ImageMagick_ImageMagick_6f1879d498bcc5cce12fe0c5decb8dbc0f608e5d_psd.c_changes_v10_v11.txt.txt,"The previous fix addressed a buffer overflow by adding 1 to the memory allocation size and using 2*channels as a multiplier. However, this fix appears to have been insufficient as the later commit shows that 2*channels was too small and could still lead to buffer overflows in certain scenarios. The candidate commit changes the multiplier from 2 to 9, suggesting that the previous fix's calculation (2*channels) was inadequate and could potentially cause memory corruption issues when handling certain types of images. The previous fix therefore introduced a vulnerability by implementing an insufficient buffer size that could still be exploited, which the candidate commit is now correcting by allocating a larger buffer.",533ea3b9047c67f9af49703de672f6c2e443f747
ImageMagick,726812fa2fa7ce16bcf58f6e115f65427a1c0950,34.0,21.0,11.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/726812fa2fa7ce16bcf58f6e115f65427a1c0950,CWE-119,CVE-2016-4564,v9,427_ImageMagick_ImageMagick_726812fa2fa7ce16bcf58f6e115f65427a1c0950_draw.c_changes_v8_v9.txt.txt,"The previous fix (726812fa) made several changes including modifications to handle buffer overflows and type casting issues. However, it introduced a potential division-by-zero vulnerability in the slope calculations by using DrawEpsilonReciprocal() without proper checks for zero values. The future commit specifically addresses this by replacing the unsafe DrawEpsilonReciprocal() calls with proper handling of edge cases when dx or dy values are near zero (less than MagickEpsilon). The new code adds explicit checks and handles cases where the denominator could be zero by using MagickEpsilon as a safe minimum value, preventing potential division-by-zero crashes. This vulnerability was directly introduced by the previous fix's incomplete consideration of edge cases in the geometric calculations.",4280d5421ce48482a67e07bcfdd2f98d6ce9f116
