Project,Commit,Lines Added in Fixed Version,Lines Deleted in Fixed Version,Hunks in Fixed Version,project,codeLink,CWE ID,CVE ID
FFmpeg,900f39692ca0337a98a7cf047e4e2611071810c2,4.0,0.0,2.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/900f39692ca0337a98a7cf047e4e2611071810c2,CWE-834,CVE-2017-14170
FFmpeg,96f24d1bee7fe7bac08e2b7c74db1a046c9dc0de,12.0,3.0,1.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/96f24d1bee7fe7bac08e2b7c74db1a046c9dc0de,CWE-834,CVE-2017-14056
FFmpeg,b05cd1ea7e45a836f7f6071a716c38bb30326e0f,8.0,7.0,3.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/b05cd1ea7e45a836f7f6071a716c38bb30326e0f,CWE-119,CVE-2013-7020
FFmpeg,cb243972b121b1ae6b60a78ff55a0506c69f3879,30.0,7.0,7.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/cb243972b121b1ae6b60a78ff55a0506c69f3879,CWE-119,CVE-2017-9990
FFmpeg,cdd5df8189ff1537f7abe8defe971f80602cc2d2,1.0,1.0,1.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/cdd5df8189ff1537f7abe8defe971f80602cc2d2,CWE-399,CVE-2013-7021
FFmpeg,e371f031b942d73e02c090170975561fabd5c264,1163.0,341.0,19.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/e371f031b942d73e02c090170975561fabd5c264,CWE-787,CVE-2017-7866
FFmpeg,fe448cd28d674c3eff3072552eae366d0b659ce9,4.0,4.0,2.0,FFmpeg,https://github.com/FFmpeg/FFmpeg/commit/fe448cd28d674c3eff3072552eae366d0b659ce9,CWE-119,CVE-2013-7024
ImageMagick,16916c8979c32765c542e216b31cee2671b7afe7,2.0,0.0,1.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/16916c8979c32765c542e216b31cee2671b7afe7,CWE-20,CVE-2018-16644
ImageMagick,1aa0c6dab6dcef4d9bc3571866ae1c1ddbec7d8f,17.0,26.0,2.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/1aa0c6dab6dcef4d9bc3571866ae1c1ddbec7d8f,CWE-125,CVE-2015-8958
ImageMagick,2130bf6f89ded32ef0c88a11694f107c52566c53,3.0,1.0,1.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/2130bf6f89ded32ef0c88a11694f107c52566c53,CWE-119,CVE-2017-16546
ImageMagick,280215b9936d145dd5ee91403738ccce1333cab1,87.0,80.0,2.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/280215b9936d145dd5ee91403738ccce1333cab1,CWE-125,CVE-2016-7514
ImageMagick,2ad6d33493750a28a5a655d319a8e0b16c392de1,6.0,2.0,2.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/2ad6d33493750a28a5a655d319a8e0b16c392de1,CWE-125,CVE-2016-7515
ImageMagick,4f2c04ea6673863b87ac7f186cbb0d911f74085c,12.0,7.0,2.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/4f2c04ea6673863b87ac7f186cbb0d911f74085c,CWE-125,CVE-2016-7532
ImageMagick,58d9c46929ca0828edde34d263700c3a5fe8dc3c,2.0,2.0,2.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/58d9c46929ca0828edde34d263700c3a5fe8dc3c,CWE-125,CVE-2019-10714
ImageMagick,6b4aff0f117b978502ee5bcd6e753c17aec5a961,9.0,3.0,3.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/6b4aff0f117b978502ee5bcd6e753c17aec5a961,CWE-125,CVE-2015-8958
ImageMagick,6e48aa92ff4e6e95424300ecd52a9ea453c19c60,67.0,68.0,3.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/6e48aa92ff4e6e95424300ecd52a9ea453c19c60,CWE-119,CVE-2016-8677
ImageMagick,6f1879d498bcc5cce12fe0c5decb8dbc0f608e5d,2.0,2.0,1.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/6f1879d498bcc5cce12fe0c5decb8dbc0f608e5d,CWE-125,CVE-2016-7514
ImageMagick,726812fa2fa7ce16bcf58f6e115f65427a1c0950,34.0,21.0,11.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/726812fa2fa7ce16bcf58f6e115f65427a1c0950,CWE-119,CVE-2016-4564
ImageMagick,78f82d9d1c2944725a279acd573a22168dc6e22a,3.0,3.0,2.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/78f82d9d1c2944725a279acd573a22168dc6e22a,CWE-119,CVE-2015-8957
ImageMagick,7fd419441bc7103398e313558171d342c6315f44,3.0,0.0,1.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/7fd419441bc7103398e313558171d342c6315f44,CWE-617,CVE-2017-9499
ImageMagick,83e0f8ffd7eeb7661b0ff83257da23d24ca7f078,6.0,0.0,1.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/83e0f8ffd7eeb7661b0ff83257da23d24ca7f078,CWE-835,CVE-2017-11523
ImageMagick,8ca35831e91c3db8c6d281d09b605001003bec08,4.0,0.0,3.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/8ca35831e91c3db8c6d281d09b605001003bec08,CWE-772,CVE-2017-11310
ImageMagick,8ea44b48a182dd46d018f4b4f09a5e2ee9638105,1.0,14.0,3.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/8ea44b48a182dd46d018f4b4f09a5e2ee9638105,CWE-125,CVE-2015-8958
ImageMagick,a7759f410b773a1dd57b0e1fb28112e1cd8b97bc,2.0,0.0,1.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/a7759f410b773a1dd57b0e1fb28112e1cd8b97bc,CWE-125,CVE-2019-13295
ImageMagick,a906fe9298bf89e01d5272023db687935068849a,11.0,5.0,3.0,ImageMagick6,https://github.com/ImageMagick/ImageMagick/commit/a906fe9298bf89e01d5272023db687935068849a,CWE-119,CVE-2019-13300
ImageMagick,afa878a689870c28b6994ecf3bb8dbfb2b76d135,27.0,0.0,9.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/afa878a689870c28b6994ecf3bb8dbfb2b76d135,CWE-20,CVE-2018-16644
ImageMagick,b8f17d08b7418204bf8a05a5c24e87b2fc395b75,3.0,3.0,2.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/b8f17d08b7418204bf8a05a5c24e87b2fc395b75,CWE-125,CVE-2015-8958
ImageMagick,c4e63ad30bc42da691f2b5f82a24516dd6b4dc70,7.0,4.0,3.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/c4e63ad30bc42da691f2b5f82a24516dd6b4dc70,CWE-369,CVE-2016-7530
ImageMagick,ce08a3691a8ac29125e29fc41967b3737fa3f425,4.0,1.0,1.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/ce08a3691a8ac29125e29fc41967b3737fa3f425,CWE-399,CVE-2019-13296
ImageMagick,d5089971bd792311aaab5cb73460326d7ef7f32d,8.0,1.0,3.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/d5089971bd792311aaab5cb73460326d7ef7f32d,CWE-125,CVE-2019-13302
ImageMagick,e793eb203e5e0f91f5037aed6585e81b1e27395b,13.0,0.0,1.0,ImageMagick,https://github.com/ImageMagick/ImageMagick/commit/e793eb203e5e0f91f5037aed6585e81b1e27395b,CWE-772,CVE-2017-12427
ImageMagick,e92040ea6ee2a844ebfd2344174076795a4787bd,2.0,2.0,2.0,ImageMagick6,https://github.com/ImageMagick/ImageMagick/commit/e92040ea6ee2a844ebfd2344174076795a4787bd,CWE-119,CVE-2019-13306
ImageMagick6,55e6dc49f1a381d9d511ee2f888fdc3e3c3e3953,2.0,0.0,1.0,ImageMagick,https://github.com/ImageMagick/ImageMagick6/commit/55e6dc49f1a381d9d511ee2f888fdc3e3c3e3953,CWE-125,CVE-2019-13295
ImageMagick6,5982632109cad48bc6dab867298fdea4dea57c51,3.0,0.0,2.0,ImageMagick6,https://github.com/ImageMagick/ImageMagick6/commit/5982632109cad48bc6dab867298fdea4dea57c51,CWE-399,CVE-2019-13310
ImageMagick6,cb5ec7d98195aa74d5ed299b38eff2a68122f3fa,2.0,2.0,2.0,ImageMagick6,https://github.com/ImageMagick/ImageMagick6/commit/cb5ec7d98195aa74d5ed299b38eff2a68122f3fa,CWE-119,CVE-2019-13306
LibRaw-demosaic-pack-GPL2,194f592e205990ea8fce72b6c571c14350aca716,6.0,2.0,2.0,LibRaw-demosaic-pack-GPL2,https://github.com/LibRaw/LibRaw-demosaic-pack-GPL2/commit/194f592e205990ea8fce72b6c571c14350aca716,CWE-119,CVE-2017-6890
Little-CMS,5ca71a7bc18b6897ab21d815d15e218e204581e2,1.0,0.0,1.0,Little-CMS,https://github.com/mm2/Little-CMS/commit/5ca71a7bc18b6897ab21d815d15e218e204581e2,CWE-125,CVE-2016-10165
Little-CMS,768f70ca405cd3159d990e962d54456773bb8cf8,11.0,5.0,2.0,Little-CMS,https://github.com/mm2/Little-CMS/commit/768f70ca405cd3159d990e962d54456773bb8cf8,CWE-190,CVE-2018-16435
PDFGen,ee58aff6918b8bbc3be29b9e3089485ea46ff956,2.0,1.0,1.0,PDFGen,https://github.com/AndreRenaud/PDFGen/commit/ee58aff6918b8bbc3be29b9e3089485ea46ff956,CWE-125,CVE-2018-11363
VeraCrypt,f30f9339c9a0b9bbcc6f5ad38804af39db1f479e,92.0,59.0,2.0,VeraCrypt,https://github.com/veracrypt/VeraCrypt/commit/f30f9339c9a0b9bbcc6f5ad38804af39db1f479e,CWE-119,CVE-2019-1010208
WavPack,36a24c7881427d2e1e4dc1cef58f19eee0d13aec,11.0,1.0,1.0,WavPack,https://github.com/dbry/WavPack/commit/36a24c7881427d2e1e4dc1cef58f19eee0d13aec,CWE-125,CVE-2018-7253
WavPack,8e3fe45a7bac31d9a3b558ae0079e2d92a04799e,24.0,8.0,3.0,WavPack,https://github.com/dbry/WavPack/commit/8e3fe45a7bac31d9a3b558ae0079e2d92a04799e,CWE-125,CVE-2018-7254
aircrack-ng,88702a3ce4c28a973bf69023cd0312f412f6193e,1.0,1.0,1.0,aircrack-ng,https://github.com/aircrack-ng/aircrack-ng/commit/88702a3ce4c28a973bf69023cd0312f412f6193e,CWE-20,CVE-2014-8324
bdwgc,e10c1eb9908c2774c16b3148b30d2f3823d66a9a,5.0,0.0,1.0,bdwgc,https://github.com/ivmai/bdwgc/commit/e10c1eb9908c2774c16b3148b30d2f3823d66a9a,CWE-189,CVE-2012-2673
chromium,016da29386308754274675e65fdb73cf9d59dc2d,15.0,7.0,1.0,Chrome,https://github.com/chromium/chromium/commit/016da29386308754274675e65fdb73cf9d59dc2d,CWE-264,CVE-2013-2876
chromium,05c619eb6e7dac046afc72c0d5381856f87fb421,29.0,16.0,2.0,Chrome,https://github.com/chromium/chromium/commit/05c619eb6e7dac046afc72c0d5381856f87fb421,CWE-416,CVE-2014-3194
chromium,07fbae50670ea44e35e1d554db1bbece7fe3711f,20.0,4.0,1.0,Chrome,https://github.com/chromium/chromium/commit/07fbae50670ea44e35e1d554db1bbece7fe3711f,CWE-20,CVE-2018-18351
chromium,0e3b0c22a5c596bdc24a391b3f02952c1c3e4f1b,16.0,0.0,2.0,Chrome,https://github.com/chromium/chromium/commit/0e3b0c22a5c596bdc24a391b3f02952c1c3e4f1b,CWE-20,CVE-2019-5803
chromium,108a923ac784e62ca84b45cb6241f77a942e233a,10.0,0.0,3.0,Chrome,https://github.com/chromium/chromium/commit/108a923ac784e62ca84b45cb6241f77a942e233a,CWE-399,CVE-2011-2854
chromium,1538367452b549d929aabb13d54c85ab99f65cd3,6.0,5.0,2.0,Chrome,https://github.com/chromium/chromium/commit/1538367452b549d929aabb13d54c85ab99f65cd3,CWE-264,CVE-2013-0889
chromium,2571533bbb5b554ff47205c8ef1513ccc0817c3e,12.0,0.0,2.0,Chrome,https://github.com/chromium/chromium/commit/2571533bbb5b554ff47205c8ef1513ccc0817c3e,CWE-189,CVE-2014-7909
chromium,46f5cfb6414c04b65cba4ec59ca992f338934fc9,4.0,2.0,1.0,Chrome,https://github.com/chromium/chromium/commit/46f5cfb6414c04b65cba4ec59ca992f338934fc9,CWE-20,CVE-2018-6139
chromium,4c46d7a5b0af9b7d320e709291b270ab7cf07e83,4.0,11.0,1.0,Chrome,https://github.com/chromium/chromium/commit/4c46d7a5b0af9b7d320e709291b270ab7cf07e83,CWE-189,CVE-2011-3102
chromium,53262b5285efbbfdbbcc17fbf5200890f1ee295c,121.0,101.0,14.0,Chrome,https://github.com/chromium/chromium/commit/53262b5285efbbfdbbcc17fbf5200890f1ee295c,CWE-94,CVE-2016-5149
chromium,69827e08e9e0a30ce452589705d7336edaffd490,25.0,8.0,2.0,Chrome,https://github.com/chromium/chromium/commit/69827e08e9e0a30ce452589705d7336edaffd490,CWE-264,CVE-2013-2866
chromium,74aaa70032784e7cf00256821f29b2b53edb6589,17.0,0.0,1.0,Chrome,https://github.com/chromium/chromium/commit/74aaa70032784e7cf00256821f29b2b53edb6589,CWE-264,CVE-2012-5146
chromium,7a0dee9d17d0ee7fd1b40b017442f4952384a7c2,1.0,2.0,1.0,Chrome,https://github.com/chromium/chromium/commit/7a0dee9d17d0ee7fd1b40b017442f4952384a7c2,CWE-79,CVE-2017-5069
chromium,7d085fbb43b21e959900b94f191588fd10546a94,2.0,2.0,1.0,Chrome,https://github.com/chromium/chromium/commit/7d085fbb43b21e959900b94f191588fd10546a94,CWE-416,CVE-2013-2857
chromium,8355de453bb4014b74b2db5d7ca38c5664d65d83,4.0,3.0,2.0,Chrome,https://github.com/chromium/chromium/commit/8355de453bb4014b74b2db5d7ca38c5664d65d83,CWE-20,CVE-2016-1654
chromium,935cb0dee7696d70880f96a71bf5687411bb8cb9,2.0,0.0,1.0,Chrome,https://github.com/chromium/chromium/commit/935cb0dee7696d70880f96a71bf5687411bb8cb9,CWE-189,CVE-2012-5154
chromium,9400c64565586091f67d4131850fd0836b18b511,6.0,2.0,1.0,Chrome,https://github.com/chromium/chromium/commit/9400c64565586091f67d4131850fd0836b18b511,CWE-399,CVE-2011-2787
chromium,9b9a9f33f0a26f40d083be85a539dd7963adfc9b,4.0,0.0,1.0,Chrome,https://github.com/chromium/chromium/commit/9b9a9f33f0a26f40d083be85a539dd7963adfc9b,CWE-399,CVE-2012-2817
chromium,9ce8793d2a8ca2cc0cb3c26fa1ca0eef3d9bc999,6.0,0.0,2.0,Chrome,https://github.com/chromium/chromium/commit/9ce8793d2a8ca2cc0cb3c26fa1ca0eef3d9bc999,CWE-119,CVE-2012-2869
chromium,a3b76c8c13ea6b228122440f48c61b66d20443dd,3.0,0.0,1.0,Chrome,https://github.com/chromium/chromium/commit/a3b76c8c13ea6b228122440f48c61b66d20443dd,CWE-119,CVE-2013-2862
chromium,a75c45bf1cad925548a75bf88f828443bc8ee27d,6.0,0.0,1.0,Chrome,https://github.com/chromium/chromium/commit/a75c45bf1cad925548a75bf88f828443bc8ee27d,CWE-416,CVE-2012-5140
chromium,a8e17a3031b6ad69c399e5e04dd0084e577097fc,1.0,1.0,1.0,Chrome,https://github.com/chromium/chromium/commit/a8e17a3031b6ad69c399e5e04dd0084e577097fc,CWE-1021,CVE-2017-5016
chromium,ba1513223e47b62ed53b61518b7f7b82ad1d8ccd,17.0,0.0,3.0,Chrome,https://github.com/chromium/chromium/commit/ba1513223e47b62ed53b61518b7f7b82ad1d8ccd,CWE-20,CVE-2018-6101
chromium,ba9748e78ec7e9c0d594e7edf7b2c07ea2a90449,10.0,8.0,1.0,Chrome,https://github.com/chromium/chromium/commit/ba9748e78ec7e9c0d594e7edf7b2c07ea2a90449,CWE-416,CVE-2019-5786
chromium,bb3548ef2fcdb58f9bc638bb5a3c379320fdd0e0,8.0,1.0,1.0,Chrome,https://github.com/chromium/chromium/commit/bb3548ef2fcdb58f9bc638bb5a3c379320fdd0e0,CWE-254,CVE-2016-1664
chromium,bb9cfb0aba25f4b13e57bdd4a9fac80ba071e7b9,1.0,1.0,1.0,Chrome,https://github.com/chromium/chromium/commit/bb9cfb0aba25f4b13e57bdd4a9fac80ba071e7b9,CWE-20,CVE-2013-2871
chromium,c3957448cfc6e299165196a33cd954b790875fdb,20.0,18.0,6.0,Chrome,https://github.com/chromium/chromium/commit/c3957448cfc6e299165196a33cd954b790875fdb,CWE-416,CVE-2016-5170
chromium,c4a4dfb26615b5ef5e9dcc730ef43f70ce9202e2,5.0,0.0,1.0,Chrome,https://github.com/chromium/chromium/commit/c4a4dfb26615b5ef5e9dcc730ef43f70ce9202e2,CWE-362,CVE-2013-2906
chromium,c5a59182a8406f67333c283a31f257714f082b7d,3.0,3.0,3.0,Chrome,https://github.com/chromium/chromium/commit/c5a59182a8406f67333c283a31f257714f082b7d,CWE-79,CVE-2017-15429
chromium,c71a21e6dda9025c2bf823c5aab791c2ae8cdfc2,3.0,0.0,1.0,Chrome,https://github.com/chromium/chromium/commit/c71a21e6dda9025c2bf823c5aab791c2ae8cdfc2,CWE-264,CVE-2015-6755
chromium,c9911bc93097a5df5518f5b88e1d5ed5ef275a4d,3.0,2.0,1.0,Chrome,https://github.com/chromium/chromium/commit/c9911bc93097a5df5518f5b88e1d5ed5ef275a4d,CWE-399,CVE-2011-2821
chromium,d443be6fdfe17ca4f3ff1843ded362ff0cd01096,8.0,6.0,1.0,Chrome,https://github.com/chromium/chromium/commit/d443be6fdfe17ca4f3ff1843ded362ff0cd01096,CWE-119,CVE-2013-0890
chromium,d9e316238aee59acf665d80b544cf4e1edfd3349,11.0,4.0,2.0,Chrome,https://github.com/chromium/chromium/commit/d9e316238aee59acf665d80b544cf4e1edfd3349,CWE-20,CVE-2015-6783
chromium,dcd538eb3daf6c52d3ebef0a7afea758f6c657c8,2.0,3.0,2.0,Chrome,https://github.com/chromium/chromium/commit/dcd538eb3daf6c52d3ebef0a7afea758f6c657c8,CWE-20,CVE-2016-1661
chromium,ed6f4545a2a345697e07908c887333f5bdcc97a3,6.0,3.0,1.0,Chrome,https://github.com/chromium/chromium/commit/ed6f4545a2a345697e07908c887333f5bdcc97a3,CWE-362,CVE-2013-0893
chromium,f084d7007f67809ef116ee6b11f251bf3c9ed895,2.0,2.0,2.0,Chrome,https://github.com/chromium/chromium/commit/f084d7007f67809ef116ee6b11f251bf3c9ed895,CWE-399,CVE-2013-6625
chromium,f837b6744eb9ca9d8e4f2e93d9118bf787ca5e24,9.0,5.0,3.0,Chrome,https://github.com/chromium/chromium/commit/f837b6744eb9ca9d8e4f2e93d9118bf787ca5e24,CWE-399,CVE-2011-2801
chromium,fc343fd48badc0158dc2bb763e9a8b9342f3cb6f,4.0,2.0,1.0,Chrome,https://github.com/chromium/chromium/commit/fc343fd48badc0158dc2bb763e9a8b9342f3cb6f,CWE-287,CVE-2013-6643
chromium,fd6a5115103b3e6a52ce15858c5ad4956df29300,1.0,16.0,1.0,Chrome,https://github.com/chromium/chromium/commit/fd6a5115103b3e6a52ce15858c5ad4956df29300,CWE-416,CVE-2018-6060
collectd,b589096f907052b3a4da2b9ccc9b0e2e888dfc18,191.0,142.0,46.0,collectd,https://github.com/collectd/collectd/commit/b589096f907052b3a4da2b9ccc9b0e2e888dfc18,CWE-119,CVE-2016-6254
cups,49fa4983f25b64ec29d548ffa3b9782426007df3,10.0,2.0,2.0,cups,https://github.com/apple/cups/commit/49fa4983f25b64ec29d548ffa3b9782426007df3,CWE-20,CVE-2017-18248
didiwiki,5e5c796617e1712905dc5462b94bd5e6c08d15ea,28.0,5.0,6.0,didiwiki,https://github.com/yarolig/didiwiki/commit/5e5c796617e1712905dc5462b94bd5e6c08d15ea,CWE-22,CVE-2013-7448
domoticz,ee70db46f81afa582c96b887b73bcd2a86feda00,47.0,57.0,8.0,domoticz,https://github.com/domoticz/domoticz/commit/ee70db46f81afa582c96b887b73bcd2a86feda00,CWE-89,CVE-2019-10664
dosfstools,e8eff147e9da1185f9afd5b25948153a3b97cf52,11.0,3.0,4.0,dosfstools,https://github.com/dosfstools/dosfstools/commit/e8eff147e9da1185f9afd5b25948153a3b97cf52,CWE-119,CVE-2016-4804
file,0641e56be1af003aa02c7c6b0184466540637233,5.0,1.0,2.0,php-src,https://github.com/file/file/commit/0641e56be1af003aa02c7c6b0184466540637233,CWE-189,CVE-2014-3587
file,1859fdb4e67c49c463c4e0078054335cd46ba295,15.0,6.0,3.0,file,https://github.com/glensc/file/commit/1859fdb4e67c49c463c4e0078054335cd46ba295,CWE-119,CVE-2012-1571
file,1aec04dbf8a24b8a6ba64c4f74efa0628e36db0b,11.0,10.0,5.0,file,https://github.com/glensc/file/commit/1aec04dbf8a24b8a6ba64c4f74efa0628e36db0b,CWE-119,CVE-2012-1571
file,27a14bc7ba285a0a5ebfdb55e54001aa11932b08,12.0,4.0,2.0,file,https://github.com/file/file/commit/27a14bc7ba285a0a5ebfdb55e54001aa11932b08,CWE-119,CVE-2014-3478
file,93e063ee374b6a75729df9e7201fb511e47e259d,6.0,2.0,2.0,file,https://github.com/file/file/commit/93e063ee374b6a75729df9e7201fb511e47e259d,CWE-20,CVE-2014-3487
file,f97486ef5dc3e8735440edc4fc8808c63e1a3ef0,8.0,2.0,3.0,file,https://github.com/file/file/commit/f97486ef5dc3e8735440edc4fc8808c63e1a3ef0,CWE-119,CVE-2014-0238
git,1a7fd1fb2998002da6e9ff2ee46e1bdd25ee8404,7.0,0.0,2.0,git,https://github.com/git/git/commit/1a7fd1fb2998002da6e9ff2ee46e1bdd25ee8404,CWE-20,CVE-2018-17456
git,a124133e1e6ab5c7a9fef6d0e6bcb084e3455b46,83.0,123.0,20.0,git,https://github.com/git/git/commit/a124133e1e6ab5c7a9fef6d0e6bcb084e3455b46,CWE-20,CVE-2018-17456
gpac,d2371b4b204f0a3c0af51ad4e9b491144dd1225c,71.0,233.0,31.0,gpac,https://github.com/gpac/gpac/commit/d2371b4b204f0a3c0af51ad4e9b491144dd1225c,CWE-400,CVE-2018-21017
jasper,bdfe95a6e81ffb4b2fad31a76b57943695beed20,10.0,6.0,3.0,jasper,https://github.com/mdadams/jasper/commit/bdfe95a6e81ffb4b2fad31a76b57943695beed20,CWE-476,CVE-2016-10250
jasper,d91198abd00fc435a397fe6bad906a4c1748e9cf,5.0,1.0,2.0,jasper,https://github.com/mdadams/jasper/commit/d91198abd00fc435a397fe6bad906a4c1748e9cf,CWE-190,CVE-2016-9387
libarchive,a550daeecf6bc689ade371349892ea17b5b97c77,2.0,2.0,1.0,libarchive,https://github.com/libarchive/libarchive/commit/a550daeecf6bc689ade371349892ea17b5b97c77,CWE-119,CVE-2016-4301
libarchive,dfd6b54ce33960e420fb206d8872fb759b577ad9,232.0,72.0,9.0,libarchive,https://github.com/libarchive/libarchive/commit/dfd6b54ce33960e420fb206d8872fb759b577ad9,CWE-20,CVE-2016-5418
libav,cd4663dc80323ba64989d0c103d51ad3ee0e9c2f,6.0,1.0,2.0,libav,https://github.com/libav/libav/commit/cd4663dc80323ba64989d0c103d51ad3ee0e9c2f,CWE-119,CVE-2017-16803
libgd,77f619d48259383628c3ec4654b1ad578e9eb40e,11.0,6.0,2.0,php-src,https://github.com/libgd/libgd/commit/77f619d48259383628c3ec4654b1ad578e9eb40e,CWE-119,CVE-2016-9933
libgit2,66e3774d279672ee51c3b54545a79d20d1ada834,12.0,4.0,5.0,libgit2,https://github.com/libgit2/libgit2/commit/66e3774d279672ee51c3b54545a79d20d1ada834,CWE-119,CVE-2016-10128
libmodbus,5ccdf5ef79d742640355d1132fa9e2abc7fbaefc,4.0,2.0,2.0,libmodbus,https://github.com/stephane/libmodbus/commit/5ccdf5ef79d742640355d1132fa9e2abc7fbaefc,CWE-125,CVE-2019-14463
libmysofa,d39a171e9c6a1c44dbdf43f9db6c3fbd887e38c1,6.0,6.0,3.0,libmysofa,https://github.com/hoene/libmysofa/commit/d39a171e9c6a1c44dbdf43f9db6c3fbd887e38c1,CWE-20,CVE-2019-10672
libplist,32ee5213fe64f1e10ec76c1ee861ee6f233120dd,6.0,6.0,4.0,libplist,https://github.com/libimobiledevice/libplist/commit/32ee5213fe64f1e10ec76c1ee861ee6f233120dd,CWE-787,CVE-2017-6439
libreswan,2899351224fe2940aec37d7656e1e392c0fe07f0,605.0,420.0,39.0,libreswan,https://github.com/libreswan/libreswan/commit/2899351224fe2940aec37d7656e1e392c0fe07f0,CWE-20,CVE-2013-7294
libsndfile,60b234301adf258786d8b90be5c1d437fc8799e0,23.0,7.0,6.0,libsndfile,https://github.com/erikd/libsndfile/commit/60b234301adf258786d8b90be5c1d437fc8799e0,CWE-119,CVE-2017-7742
libsndfile,f457b7b5ecfe91697ed01cfc825772c4d8de1236,5.0,3.0,2.0,libsndfile,https://github.com/erikd/libsndfile/commit/f457b7b5ecfe91697ed01cfc825772c4d8de1236,CWE-119,CVE-2017-7586
libtiff,9a72a69e035ee70ff5c41541c8c61cd97990d018,11.0,13.0,3.0,libtiff,https://github.com/vadz/libtiff/commit/9a72a69e035ee70ff5c41541c8c61cd97990d018,CWE-125,CVE-2016-10270
